Ticker,Accuracy,Trades,Win Rate,Return,Profit Factor,Sharpe
AMZN,53.6%,51,49.0%,4.4%,1.02,0.65
AAPL,58.7%,54,53.7%,77.9%,1.65,3.99
GOOG,59.0%,57,43.9%,22.6%,1.28,1.54
META,55.8%,53,47.2%,21.0%,1.16,1.42
NVDA,47.2%,57,42.1%,24.8%,1.20,1.37
TQQQ,59.7%,52,48.1%,130.2%,1.41,3.33
VOO,61.9%,55,52.7%,43.9%,1.92,4.42
COST,56.3%,51,47.1%,11.8%,1.15,1.34
CSCO,55.8%,55,54.5%,50.7%,1.74,3.87
NFLX,58.0%,49,46.9%,30.1%,1.26,2.10
JPM,61.9%,52,51.9%,56.2%,1.58,3.88
AMD,48.2%,52,40.4%,-23.4%,1.08,-0.59
BA,49.4%,54,44.4%,6.0%,1.05,0.73
CMG,45.7%,55,32.7%,-36.1%,0.65,-2.61
DIS,57.0%,49,61.2%,107.9%,2.68,6.75
XOM,49.6%,58,41.4%,-10.7%,0.88,-0.67
